;;;;;19;23
;Erstes x;Erstes y;Letzes x;Letzes y;Breite;Höhe
;12;15;15;30;4;16
;40;15;47;22;8;8
;68;13;79;31;12;19
;98;13;109;33;12;21
;127;14;140;30;14;17
;158;16;170;30;13;15
;192;15;195;23;4;9
;223;13;228;32;6;20
;249;13;254;32;6;20
;279;15;288;24;10;10
;308;16;320;28;13;13
;340;26;345;33;6;8
;370;22;376;23;7;2
;402;27;405;30;4;4
;428;12;439;33;12;22
;458;14;468;30;11;17
;488;14;499;30;12;17
;518;14;528;30;11;17
;548;14;558;30;11;17
;577;14;588;30;12;17
;608;14;618;30;11;17
;638;14;648;30;11;17
;668;14;678;30;11;17
;698;14;708;30;11;17
;728;14;738;30;11;17
;761;20;765;30;5;11
;790;20;795;33;6;14
;817;16;829;27;13;12
;847;19;859;25;13;7
;877;16;889;28;13;13
;909;15;918;30;10;16
;936;16;950;30;15;15
;6;59;21;74;16;16
;37;59;50;74;14;16
;68;59;81;74;14;16
;97;59;110;74;14;16
;127;59;140;74;14;16
;158;59;170;74;13;16
;187;59;201;74;15;16
;217;59;230;74;14;16
;248;59;259;74;12;16
;277;59;291;74;15;16
;307;59;321;74;15;16
;337;59;350;74;14;16
;366;59;381;74;16;16
;396;59;411;74;16;16
;427;59;440;74;14;16
;457;59;469;74;13;16
;487;59;500;77;14;19
;517;59;531;74;15;16
;548;59;559;75;12;17
;577;59;590;74;14;16
;606;59;621;75;16;17
;636;59;651;74;16;16
;666;59;681;74;16;16
;696;59;710;74;15;16
;726;59;740;74;15;16
;758;59;769;74;12;16
;794;57;798;76;5;20
;818;56;829;78;12;23
;849;57;853;77;5;21
;877;59;889;70;13;12
;904;76;922;77;19;2
;941;58;945;61;5;4
